BranchCode,reg_2012,reg_2013,reg_2014,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,reg_2020,reg_2021,reg_2022,NBHDNo,NBHDName
RI,3082.0,2608.0,2549.0,2841.0,2872.0,2833.0,3638.0,3800.0,1230.0,1232.0,3175.0,007,Willowridge-Martingrove-Richview
RN,1782.0,1727.0,1823.0,1833.0,1867.0,1296.0,2512.0,2536.0,886.0,995.0,2074.0,088,High Park North
RX,421.0,422.0,406.0,400.0,462.0,427.0,466.0,514.0,108.0,173.0,365.0,004,Rexdale-Kipling
SA,1419.0,1492.0,1254.0,1073.0,1169.0,1247.0,2048.0,2158.0,628.0,663.0,1257.0,078,Kensington-Chinatown
SC,0.0,0.0,0.0,2242.0,2173.0,2449.0,2686.0,2836.0,995.0,1214.0,2536.0,156,Bendale -Glen Andrew
SI,306.0,290.0,319.0,284.0,306.0,287.0,6.0,254.0,186.0,254.0,450.0,091,Weston-Pellam Park
SJ,1828.0,1695.0,1594.0,1427.0,1588.0,1659.0,2137.0,2297.0,378.0,350.0,1864.0,074,North St. James Town
SL,915.0,1141.0,1275.0,1278.0,1415.0,1769.0,2140.0,2550.0,980.0,1068.0,1880.0,166,St Lawrence-East Bayfront-The Islands
SP,754.0,691.0,638.0,737.0,720.0,743.0,925.0,1083.0,187.0,267.0,747.0,095,Annex
ST,902.0,1058.0,826.0,1052.0,1004.0,897.0,898.0,1570.0,315.0,418.0,1097.0,116,Steeles
SW,88.0,67.0,81.0,85.0,92.0,203.0,124.0,133.0,16.0,1.0,157.0,087,High Park-Swansea
SWS,1360.0,1293.0,1415.0,1239.0,1269.0,1339.0,1760.0,1955.0,561.0,648.0,1488.0,059,Danforth Village - East York
TA,443.0,317.0,453.0,421.0,401.0,343.0,497.0,545.0,212.0,245.0,408.0,122,Birchcliffe-Cliffside
TH,1555.0,2090.0,1612.0,1507.0,1627.0,1599.0,1753.0,1948.0,525.0,580.0,1589.0,055,Thorncliffe Park
TOD,157.0,192.0,197.0,170.0,190.0,209.0,204.0,244.0,45.0,50.0,183.0,058,Old East York
TRL,8682.0,9618.0,11308.0,11617.0,13403.0,13511.0,14975.0,14461.0,4261.0,3815.0,9448.0,098,Rosedale-Moore Park
VV,427.0,429.0,394.0,465.0,541.0,471.0,630.0,544.0,207.0,226.0,444.0,043,Victoria Village
WE,1092.0,873.0,809.0,979.0,1027.0,1067.0,1279.0,1518.0,445.0,488.0,1080.0,113,Weston
WP,515.0,647.0,495.0,426.0,480.0,506.0,573.0,784.0,252.0,190.0,413.0,022,Humbermede
WS,2013.0,2229.0,2149.0,2005.0,2000.0,2046.0,2387.0,2341.0,503.0,754.0,1788.0,129,Agincourt North
WY,845.0,1000.0,943.0,1032.0,1164.0,1101.0,579.0,17.0,4.0,18.0,1035.0,096,Casa Loma
YO,1042.0,1052.0,1011.0,1012.0,1003.0,1215.0,1296.0,1349.0,278.0,464.0,1081.0,095,Annex
YW,3008.0,2280.0,2874.0,2452.0,2379.0,2952.0,3361.0,2773.0,396.0,415.0,1116.0,025,Glenfield-Jane Heights
