NBHDName,NBHDNo,POPULATION_2023,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019
St Lawrence-East Bayfront-The Islands,166,31003,861.847168,944.881897,902.7915039,1200.257446,1025.268188,47.16576767,29.00953102,63.35379028,75.72602081,69.07834625,420.2041016,530.460022,471.1938171,579.3040771,530.812561,210.1020508,256.9415588,269.2536011,295.3314819,378.1130676,0.0,0.0,3.959611893,0.0,0.0,64.31695557,66.30750275,83.15184784,159.0246429,116.3424835,0.0,12.43265629,15.83844757,7.572602272,0.0,493.0966492,364.6912537,356.3650818,272.613678,447.1914063,81.46813965,66.30750275,79.19223785,64.36711884,101.799675
Harbourfront-CityPlace,165,31477,576.7151489,537.6745605,659.5397949,523.965271,633.7786865,56.06952667,37.33851242,72.47689819,31.64890862,47.96163177,292.3625183,459.2636719,554.4482422,453.6343384,441.9321594,256.3178406,141.8863373,228.3022308,284.8401794,280.9181213,0.0,0.0,0.0,0.0,0.0,28.03476334,56.00776672,57.98151779,91.43017578,68.51661682,4.004966259,0.0,3.623844862,21.09927177,6.851661682,372.461853,257.6357117,257.2929993,225.0588989,137.0332336,60.07449341,85.87857819,43.48613739,66.81436157,68.51661682
Wellington Place,164,28870,3099.981934,3028.661133,2638.509277,2241.063232,1810.899536,120.3876495,135.4499664,144.0993805,183.3180542,140.6110229,583.8800659,888.5517578,834.7825928,852.4289551,613.5753784,457.473053,617.6518555,645.9627075,806.5994263,664.706604,6.019382477,0.0,4.968944073,4.582951546,4.260940075,240.7752991,254.6459351,258.3851013,242.8964233,217.3079376,36.11629486,16.2539959,54.65838623,41.24656296,34.0875206,896.8880005,455.1118774,546.5838623,467.4610596,468.7033997,90.29073334,108.3599701,99.37888336,109.9908371,123.5672607
Fort York-Liberty Village,163,21860,671.3018188,538.6289673,522.0692749,664.31604,621.1488647,89.90649414,76.1697464,52.734272,66.43160248,94.41462708,425.5574341,326.4417725,400.7804565,521.2325439,596.3029175,221.7693634,152.3394928,305.8587646,219.7352905,412.4428406,11.98753262,0.0,0.0,5.110123158,0.0,41.95636368,21.76278496,10.54685402,25.55061531,39.75352859,11.98753262,5.440696239,0.0,15.330369,4.969191074,341.6446838,130.5767212,205.6636658,163.523941,233.5519714,83.91272736,59.84766006,42.18741608,40.88098526,59.63029099
West Queen West,162,15136,1028.16272,890.6409912,976.0298462,752.8848877,795.7376099,52.15318298,51.10235214,43.06014252,49.25415039,96.87240601,335.2704468,459.9211426,480.8382263,464.3962708,608.9122314,216.0631866,306.6141052,222.4773865,197.0166016,449.76474,0.0,7.300335884,0.0,7.036307335,0.0,89.40545654,51.10235214,50.23683167,56.29045868,76.11402893,14.90090942,21.9010067,7.176690102,7.036307335,6.919457436,372.5227356,350.4161072,624.3720093,408.105835,387.489624,29.80181885,43.8020134,28.70676041,49.25415039,41.51674652
Humber Bay Shores,161,20822,484.2158203,449.687561,457.678833,409.7688904,498.5679321,50.30813599,40.88068771,107.3567657,49.17226791,116.6861115,81.75072479,181.043045,214.7135315,338.7422791,392.4896545,125.77034,93.44156647,84.75534058,76.49019623,180.3330841,6.288516998,0.0,0.0,0.0,5.30391407,37.73110199,17.52029419,33.90213394,81.95378113,53.03914261,12.577034,0.0,0.0,0.0,10.60782814,132.0588531,204.4034271,192.1121063,76.49019623,100.7743683,37.73110199,58.4009819,45.20284653,38.24509811,26.5195713
Mimico-Queensway,160,18313,745.6165771,953.1465454,1488.044556,2311.265381,1273.039185,151.4533691,160.771698,124.9503021,72.75169373,226.933075,110.6774597,34.45108032,124.9503021,223.8513641,127.3039246,267.9559631,189.4809418,244.2210541,201.4662323,254.6078491,0.0,5.741846561,5.679559231,0.0,0.0,75.72668457,51.67662048,96.55250549,78.34797668,38.74467087,5.825129509,5.741846561,5.679559231,5.596283913,5.534953117,279.6062317,212.4483185,244.2210541,235.0439301,404.0515747,52.42616653,40.1929245,28.39779663,33.57770538,77.48934174
Etobicoke City Centre,159,25495,784.1010132,614.947937,618.1884766,686.6610718,589.1712646,374.7904053,487.2279968,325.1213379,540.468689,507.4613953,59.17743301,89.87701416,59.52926254,48.73078537,68.80832672,419.1734924,307.4739685,256.4337463,314.5350647,318.2384949,0.0,0.0,0.0,8.860142708,4.30052042,113.4234161,99.33774567,206.0628204,88.60142517,94.6114502,4.931452751,14.1911068,13.73752213,4.430071354,8.60104084,606.5687256,458.8457947,421.2839966,474.0176392,507.4613953,192.3266602,146.6414337,123.6376953,217.0735016,116.1140518
Islington,158,25937,223.4156799,356.9303894,301.0033569,339.8992615,310.3962708,103.1149292,140.2226563,100.3344498,147.426178,229.7738495,51.5574646,25.49502754,25.08361244,16.38068771,28.2178421,249.1944122,169.9668579,167.2240753,196.5682526,205.5871277,0.0,0.0,0.0,0.0,0.0,51.5574646,89.23259735,100.3344498,57.33240509,60.4668045,17.18582153,12.74751377,0.0,8.190343857,8.062240601,446.8313599,229.4552612,267.5585327,298.9475403,294.2717896,25.7787323,25.49502754,25.08361244,20.47585869,36.2800827
Bendale South,157,10881,659.9126587,739.7817383,946.4302368,765.3061523,608.6482544,111.5345306,64.73090363,101.0750732,136.6618042,181.6860504,18.58908844,64.73090363,18.377285,0.0,9.084301949,269.5417786,258.9236145,321.6025085,163.9941711,190.7703552,0.0,9.247272491,0.0,0.0,0.0,148.7127075,157.2036285,119.4523544,36.44314957,54.5058136,0.0,18.49454498,9.188642502,9.110787392,0.0,269.5417786,157.2036285,431.8662109,236.8804626,336.1191711,18.58908844,36.98908997,36.75457001,0.0,9.084301949
Caledonia-Fairbank,109,10581,596.4020386,625.3052979,669.1882324,593.869751,712.9277344,39.10832977,107.47435,67.88866425,105.3639832,85.55133057,9.777082443,48.8519783,29.09514046,28.73563194,0.0,185.7645721,127.0151443,96.9838028,86.20689392,85.55133057,0.0,0.0,0.0,0.0,0.0,87.9937439,146.5559387,87.28542328,86.20689392,152.0912476,9.777082443,0.0,9.69838047,19.15708733,0.0,107.547905,117.244751,203.6659851,201.1494293,209.125473,9.777082443,9.770395279,9.69838047,9.578543663,19.01140594
Briar Hill-Belgravia,108,15146,537.6343994,436.6514282,453.2539673,520.833313,490.0662231,95.27698517,102.3401794,67.64984131,240.384613,125.8278122,61.24948883,47.75875092,47.35489273,80.12820435,19.8675499,197.3594666,211.5030365,209.7145233,220.3525696,324.5033264,0.0,0.0,6.764984608,0.0,0.0,81.66598511,143.2762451,148.8296509,153.5790558,178.8079529,0.0,13.64535713,27.05993843,0.0,26.49006653,238.1924591,211.5030365,216.4795074,213.6752167,231.7880859,13.61099815,27.29071426,27.05993843,26.70940208,39.73509979
