BranchCode,circ_2012,circ_2013,circ_2014,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,circ_2020,circ_2021,circ_2022,NBHDNo,NBHDName
MS,217494.0,216544.0,189655.0,183685.0,177218.0,161130.0,152677.0,156566.0,100102.0,155286.0,143361.0,136,West Hill
ND,489994.0,492887.0,464453.0,453583.0,458418.0,456927.0,432317.0,420227.0,218795.0,273570.0,380855.0,100,Yonge-Eglinton
NE,90365.0,95443.0,89817.0,83841.0,80537.0,76862.0,66929.0,62927.0,40990.0,45142.0,46726.0,001,West Humber-Clairville
NT,146150.0,136741.0,127543.0,129918.0,131787.0,125383.0,128546.0,122517.0,50501.0,63807.0,78132.0,018,New Toronto
OV,128285.0,133008.0,132051.0,132719.0,123968.0,117577.0,133088.0,142126.0,79771.0,116773.0,110991.0,107,Oakwood-Vaughan
PA,436618.0,437861.0,424425.0,425823.0,419428.0,386965.0,374726.0,359576.0,174872.0,234282.0,268749.0,069,Blake-Jones
PE,86088.0,87564.0,91155.0,91381.0,94035.0,92619.0,94768.0,97542.0,26668.0,22187.0,60143.0,171,Junction-Wallace Emerson
PK,375921.0,371412.0,372542.0,385299.0,382060.0,357701.0,324230.0,204819.0,158296.0,188589.0,279390.0,085,South Parkdale
PL,261976.0,257039.0,238983.0,240075.0,226487.0,203705.0,191193.0,101464.0,107691.0,147856.0,177165.0,073,Moss Park
PM,220608.0,222670.0,218377.0,215454.0,218096.0,194152.0,189682.0,194833.0,147392.0,204010.0,184670.0,095,Annex
PU,254806.0,250018.0,231040.0,227324.0,222051.0,203226.0,202041.0,200031.0,49387.0,45739.0,109801.0,133,Centennial Scarborough
PV,256862.0,364392.0,238752.0,211842.0,209857.0,190453.0,157096.0,168874.0,88899.0,101720.0,100288.0,046,Pleasant View
QS,108993.0,114279.0,115853.0,122194.0,121496.0,113269.0,111106.0,103936.0,26002.0,19390.0,73086.0,070,South Riverdale
RD,338175.0,304089.0,306181.0,281348.0,265073.0,238778.0,223472.0,225704.0,123931.0,156177.0,171092.0,068,North Riverdale
RI,791674.0,669746.0,599169.0,623078.0,635613.0,539487.0,540718.0,556421.0,260967.0,317534.0,398376.0,007,Willowridge-Martingrove-Richview
RN,470632.0,457819.0,448648.0,462269.0,465511.0,281048.0,421173.0,426354.0,238495.0,309451.0,362744.0,088,High Park North
RX,97181.0,92390.0,80646.0,82560.0,76880.0,79110.0,66414.0,69288.0,19791.0,25604.0,35307.0,004,Rexdale-Kipling
SA,311553.0,292200.0,264573.0,235400.0,212780.0,193422.0,178416.0,171106.0,67177.0,73687.0,102407.0,078,Kensington-Chinatown
SC,0.0,0.0,0.0,149189.0,179190.0,179314.0,172722.0,172072.0,75354.0,93231.0,134117.0,156,Bendale -Glen Andrew
SI,65465.0,61402.0,58719.0,58560.0,57530.0,50583.0,4239.0,14047.0,15409.0,20242.0,44750.0,091,Weston-Pellam Park
SJ,301031.0,297168.0,281753.0,258692.0,253579.0,223251.0,221964.0,248646.0,52790.0,23406.0,81061.0,074,North St. James Town
SL,200598.0,219240.0,219081.0,192194.0,221478.0,215415.0,216375.0,220519.0,120344.0,161940.0,146566.0,166,St Lawrence-East Bayfront-The Islands
SP,196119.0,178496.0,161094.0,180851.0,187784.0,176028.0,173509.0,172880.0,52033.0,33199.0,72202.0,095,Annex
ST,338021.0,323144.0,225130.0,267333.0,256926.0,238620.0,114108.0,198868.0,101547.0,133286.0,132901.0,116,Steeles
SW,45368.0,44401.0,44895.0,46684.0,43082.0,68141.0,40102.0,41280.0,12110.0,4642.0,16345.0,087,High Park-Swansea
SWS,459564.0,453121.0,425361.0,415562.0,406483.0,407819.0,399144.0,389780.0,211230.0,294167.0,338947.0,059,Danforth Village - East York
TA,130971.0,137367.0,133291.0,127191.0,115914.0,94731.0,104908.0,103046.0,72986.0,89976.0,78732.0,122,Birchcliffe-Cliffside
TH,231899.0,231256.0,204845.0,192845.0,178515.0,168175.0,152062.0,138280.0,66087.0,69257.0,91727.0,055,Thorncliffe Park
TOD,55391.0,57785.0,56161.0,59787.0,53254.0,51952.0,47739.0,55877.0,13900.0,6238.0,20919.0,058,Old East York
TRL,355367.0,372810.0,386528.0,412943.0,420859.0,404937.0,394068.0,375830.0,201399.0,238759.0,239509.0,098,Rosedale-Moore Park
VV,117945.0,117074.0,104944.0,106014.0,107811.0,99426.0,87550.0,87183.0,33155.0,49993.0,49054.0,043,Victoria Village
WE,185500.0,148627.0,137135.0,135560.0,135040.0,128443.0,116159.0,108961.0,51331.0,59795.0,78666.0,113,Weston
WP,90311.0,87524.0,79759.0,77281.0,69884.0,67938.0,71530.0,60941.0,28476.0,38902.0,35084.0,022,Humbermede
WS,542341.0,520729.0,457886.0,412778.0,387621.0,340490.0,312597.0,290873.0,78857.0,81545.0,176330.0,129,Agincourt North
WY,243739.0,239247.0,208312.0,235971.0,242999.0,232975.0,115280.0,14190.0,5174.0,3768.0,47953.0,096,Casa Loma
YO,327149.0,325299.0,324428.0,319571.0,302099.0,286724.0,255993.0,251808.0,70318.0,65723.0,142124.0,095,Annex
YW,338157.0,306947.0,290231.0,246340.0,222393.0,199765.0,181002.0,134944.0,26964.0,22279.0,43695.0,025,Glenfield-Jane Heights
