NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
068,North Riverdale,2015,198713.0,881,281348,73775
068,North Riverdale,2016,195261.0,976,265073,70700
068,North Riverdale,2017,194268.0,914,238778,71813
068,North Riverdale,2018,180916.0,1322,223472,45729
068,North Riverdale,2019,180229.0,1466,225704,44200
069,Blake-Jones,2015,229683.0,1449,425823,75404
069,Blake-Jones,2016,236930.0,1723,419428,74158
069,Blake-Jones,2017,233308.0,1645,386965,59407
069,Blake-Jones,2018,230567.0,2249,374726,60571
069,Blake-Jones,2019,215656.0,2105,359576,49103
070,South Riverdale,2015,134700.0,1096,299554,36988
070,South Riverdale,2016,148879.0,1291,302847,35138
070,South Riverdale,2017,152194.0,1240,281005,32351
070,South Riverdale,2018,147201.0,1519,271577,32491
070,South Riverdale,2019,145080.0,1618,258702,25453
073,Moss Park,2015,245031.0,1564,240075,68269
073,Moss Park,2016,238566.0,1540,226487,69344
073,Moss Park,2017,227666.0,1680,203705,66423
073,Moss Park,2018,225922.0,2071,191193,62072
073,Moss Park,2019,98771.0,1102,101464,28959
074,North St. James Town,2015,177063.0,1427,258692,57375
074,North St. James Town,2016,174275.0,1588,253579,56575
074,North St. James Town,2017,169242.0,1659,223251,58200
074,North St. James Town,2018,157596.0,2137,221964,51621
074,North St. James Town,2019,182887.0,2297,248646,58962
078,Kensington-Chinatown,2015,568555.0,4292,628295,243947
078,Kensington-Chinatown,2016,565492.0,4391,599831,228559
078,Kensington-Chinatown,2017,548300.0,4445,545969,178316
078,Kensington-Chinatown,2018,550373.0,5603,500640,161255
078,Kensington-Chinatown,2019,490330.0,5520,444434,144993
080,Palmerston-Little Italy,2015,123950.0,949,194055,21188
080,Palmerston-Little Italy,2016,103681.0,1037,190775,21813
080,Palmerston-Little Italy,2017,103458.0,1115,189415,20363
080,Palmerston-Little Italy,2018,101932.0,1203,182356,21914
080,Palmerston-Little Italy,2019,103210.0,1462,189401,21432
083,Dufferin Grove,2015,362150.0,3111,446446,179859
083,Dufferin Grove,2016,364124.0,3076,410988,168193
083,Dufferin Grove,2017,360508.0,3267,388365,171813
083,Dufferin Grove,2018,369395.0,3787,369252,128177
083,Dufferin Grove,2019,363692.0,4130,372794,119884
085,South Parkdale,2015,430586.0,1960,385299,127130
085,South Parkdale,2016,352888.0,1909,382060,125610
085,South Parkdale,2017,337974.0,2129,357701,122844
085,South Parkdale,2018,333245.0,2802,324230,103625
085,South Parkdale,2019,181068.0,2068,204819,53495
087,High Park-Swansea,2015,203776.0,1285,374653,46075
087,High Park-Swansea,2016,225488.0,1367,375213,41850
087,High Park-Swansea,2017,242481.0,1488,385719,47438
087,High Park-Swansea,2018,221359.0,1649,342346,33839
087,High Park-Swansea,2019,241315.0,2007,380049,35994
088,High Park North,2015,473488.0,1833,462269,65663
088,High Park North,2016,287359.0,1867,465511,63363
088,High Park North,2017,151817.0,1296,281048,38557
088,High Park North,2018,284820.0,2512,421173,68987
088,High Park North,2019,291820.0,2536,426354,67083
089,Runnymede-Bloor West Village,2015,150800.0,1202,274077,64375
089,Runnymede-Bloor West Village,2016,158532.0,1211,278761,64400
089,Runnymede-Bloor West Village,2017,163511.0,1359,295469,63875
089,Runnymede-Bloor West Village,2018,154666.0,1672,269642,43864
089,Runnymede-Bloor West Village,2019,158197.0,1755,267037,41567
090,Junction Area,2015,117375.0,915,221150,34038
090,Junction Area,2016,114135.0,1058,223409,29238
090,Junction Area,2017,126645.0,1234,250427,37370
090,Junction Area,2018,102239.0,1349,201476,21239
090,Junction Area,2019,97246.0,1274,201398,20898
091,Weston-Pelham Park,2015,29788.0,284,58560,13925
091,Weston-Pelham Park,2016,30566.0,306,57530,13838
091,Weston-Pelham Park,2017,24915.0,287,50583,9487
091,Weston-Pelham Park,2019,10366.0,254,14047,1473
092,Corso Italia-Davenport,2015,105000.0,814,151261,54700
092,Corso Italia-Davenport,2016,104307.0,834,145940,51225
092,Corso Italia-Davenport,2017,103822.0,808,149156,49488
092,Corso Italia-Davenport,2018,111761.0,1420,169416,42709
092,Corso Italia-Davenport,2019,109667.0,1442,169397,40379
094,Wychwood,2015,39975.0,242,126743,6688
094,Wychwood,2016,35844.0,280,125999,6113
094,Wychwood,2017,34954.0,316,119636,6100
094,Wychwood,2018,37506.0,452,131944,4008
094,Wychwood,2019,36185.0,560,138693,4311
095,Annex,2015,340226.0,2562,715876,65926
095,Annex,2016,343606.0,2556,707979,63351
095,Annex,2017,349749.0,2774,656904,66113
095,Annex,2018,326582.0,3241,619184,61488
095,Annex,2019,324729.0,3608,619521,56815
096,Casa Loma,2015,116525.0,1032,235971,37263
096,Casa Loma,2016,143043.0,1164,242999,36875
096,Casa Loma,2017,133540.0,1101,232975,36463
096,Casa Loma,2018,62229.0,579,115280,16140
098,Rosedale-Moore Park,2015,1558204.0,13407,834394,961396
098,Rosedale-Moore Park,2016,1744658.0,15201,834280,977011
098,Rosedale-Moore Park,2017,1886346.0,15361,800718,921562
098,Rosedale-Moore Park,2018,1883981.0,17437,795534,494429
098,Rosedale-Moore Park,2019,1787480.0,16795,790945,451793
099,Mount Pleasant East,2015,62863.0,546,152476,6138
099,Mount Pleasant East,2016,66950.0,656,161406,6250
099,Mount Pleasant East,2017,59793.0,589,155354,5738
099,Mount Pleasant East,2018,62333.0,837,153772,6809
099,Mount Pleasant East,2019,61718.0,776,155612,5368
100,Yonge-Eglinton,2015,306319.0,2466,453583,112235
100,Yonge-Eglinton,2016,364658.0,3050,458418,117080
100,Yonge-Eglinton,2017,391543.0,3384,456927,120673
100,Yonge-Eglinton,2018,373362.0,4164,432317,104897
100,Yonge-Eglinton,2019,357327.0,4118,420227,92396
102,Forest Hill North,2015,101125.0,1004,198480,21600
102,Forest Hill North,2016,108116.0,866,200010,20350
102,Forest Hill North,2017,117222.0,951,189387,21500
102,Forest Hill North,2018,113245.0,1093,181125,14583
102,Forest Hill North,2019,107435.0,1091,172300,17319
103,Lawrence Park South,2015,169263.0,1526,336679,42075
103,Lawrence Park South,2016,188439.0,1503,339256,47125
103,Lawrence Park South,2017,215365.0,1849,352148,46140
103,Lawrence Park South,2018,206804.0,2111,349360,40048
103,Lawrence Park South,2019,204120.0,2157,335761,36896
107,Oakwood Village,2015,278506.0,2299,381113,173800
107,Oakwood Village,2016,316247.0,2389,354522,179700
107,Oakwood Village,2017,328702.0,2212,328765,154752
