NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
070,South Riverdale,JO,Jones,2013,75250.0,633,185842,28675.0
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2013,115425.0,1330,140002,48988.0
125,Ionview,KE,Kennedy/Eglinton,2013,117338.0,1539,214023,38200.0
019,Long Branch,LB,Long Branch,2013,54113.0,660,135757,26575.0
056,Leaside-Bennington,LE,Leaside,2013,160863.0,1103,364969,27025.0
103,Lawrence Park South,LO,Locke,2013,179513.0,1547,356462,40425.0
078,Kensington-Chinatown,LS,Lillian H. Smith,2013,354888.0,3254,495308,189215.0
062,East End-Danforth,MA,Main Street,2013,107346.0,836,254725,39548.0
146,Malvern East,MAL,Malvern,2013,385150.0,2661,507636,181120.0
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2013,208021.0,1791,249361,111379.0
126,Dorset Park,MCG,McGregor Park,2013,128400.0,1346,256023,44723.0
115,Mount Dennis,MD,Mount Dennis,2013,57388.0,995,105129,44575.0
160,Mimico-Queensway,MI,Mimico Centennial,2013,83468.0,816,188067,21055.0
099,Mount Pleasant East,MP,Mount Pleasant,2013,72363.0,591,159474,5675.0
119,Wexford-Maryvale,MRV,Maryvale,2013,150788.0,1102,258596,30713.0
136,West Hill,MS,Morningside,2013,135475.0,1038,216544,39950.0
100,Yonge-Eglinton,ND,Northern District,2013,328400.0,2665,492887,117777.0
001,West Humber-Clairville,NE,Northern Elms,2013,41188.0,414,95443,13700.0
018,New Toronto,NT,New Toronto,2013,88600.0,568,136741,22372.0
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2013,84013.0,604,133008,34600.0
069,Blake-Jones,PA,Pape/Danforth,2013,257275.0,1538,437861,72263.0
171,Junction-Wallace Emerson,PE,Perth/Dupont,2013,40100.0,234,87564,9638.0
085,South Parkdale,PK,Parkdale,2013,345738.0,1883,371412,128159.0
073,Moss Park,PL,Parliament Street,2013,208063.0,1632,257039,69688.0
095,Annex,PM,Palmerston,2013,115625.0,765,222670,20863.0
133,Centennial Scarborough,PU,Port Union,2013,127775.0,850,250018,16875.0
046,Pleasant View,PV,Pleasant View,2013,186250.0,1192,364392,41325.0
070,South Riverdale,QS,Queen/Saulter,2013,70725.0,424,114279,11863.0
068,North Riverdale,RD,Riverdale,2013,226400.0,1014,304089,73788.0
007,Willowridge-Martingrove-Richview,RI,Richview,2013,409390.0,2608,669746,118823.0
088,High Park North,RN,Runnymede,2013,283238.0,1727,457819,67213.0
004,Rexdale-Kipling,RX,Rexdale,2013,46325.0,422,92390,18938.0
078,Kensington-Chinatown,SA,Sanderson,2013,290300.0,1492,292200,69388.0
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2013,31100.0,290,61402,14225.0
074,North St. James Town,SJ,St. James Town,2013,192963.0,1695,297168,62200.0
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2013,114900.0,1141,219240,26075.0
095,Annex,SP,Spadina Road,2013,78583.0,691,178496,11245.0
116,Steeles,ST,Steeles,2013,160538.0,1058,323144,37838.0
087,High Park-Swansea,SW,Swansea Memorial,2013,19688.0,67,44401,2575.0
059,Danforth Village - East York,SWS,S. Walter Stewart,2013,262125.0,1293,453121,147925.0
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2013,36375.0,317,137367,15425.0
055,Thorncliffe Park,TH,Thorncliffe,2013,203338.0,2090,231256,88100.0
058,Old East York,TOD,Todmorden Room,2013,17500.0,192,57785,3300.0
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2013,1226659.0,9618,372810,818494.0
043,Victoria Village,VV,Victoria Village,2013,41950.0,429,117074,13675.0
113,Weston,WE,Weston,2013,87500.0,873,148627,37488.0
022,Humbermede,WP,Woodview Park,2013,30575.0,647,87524,16738.0
129,Agincourt North,WS,Woodside Square,2013,471800.0,2229,520729,114088.0
096,Casa Loma,WY,Wychwood,2013,114613.0,1000,239247,43200.0
095,Annex,YO,Yorkville,2013,191050.0,1052,325299,32475.0
025,Glenfield-Jane Heights,YW,York Woods,2013,208388.0,2280,306947,176806.0
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2014,401819.0,3810,398248,142159.0
120,Clairlea-Birchmount,ACD,Albert Campbell,2014,285428.0,1782,398024,149898.0
020,Alderwood,AD,Alderwood,2014,102875.0,543,176590,16500.0
118,Tam O'Shanter-Sullivan,AG,Agincourt,2014,424457.0,3171,934448,166023.0
039,Bedford Park-Nortown,AH,Armour Heights,2014,67675.0,608,192068,11800.0
090,Junction Area,AN,Annette Street,2014,95263.0,878,192175,28629.0
030,Brookhaven-Amesbury,AP,Amesbury Park,2014,56313.0,1020,141236,18550.0
150,Fenside-Parkwoods,BB,Brookbanks,2014,93375.0,705,191767,26263.0
154,Oakdale-Beverley Heights,BC,Black Creek,2014,91963.0,1206,114512,24600.0
157,Bendale South,BD,Bendale,2014,72650.0,838,161001,20538.0
063,The Beaches,BE,Beaches,2014,186600.0,1523,347392,41963.0
032,Englemount-Lawrence,BF,Barbara Frum,2014,356077.0,2053,585103,120551.0
083,Dufferin Grove,BL,Bloor/Gladstone,2014,355250.0,3109,442201,174629.0
015,Kingsway South,BR,Brentwood,2014,234008.0,2032,405961,83069.0
147,L'Amoreaux West,BRW,Bridlewood,2014,420963.0,2016,493792,42088.0
146,Malvern East,BUR,Burrows Hall,2014,107200.0,825,193594,28275.0
123,Cliffcrest,CC,Cliffcrest,2014,80175.0,765,174901,18738.0
035,Westminster-Branson,CE,Centennial,2014,125613.0,1604,311704,26025.0
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2014,366123.0,3958,584174,258188.0
170,Yonge-Bay Corridor,CH,City Hall,2014,201288.0,2142,360425,29988.0
037,Willowdale West,CL,North York Central Library,2014,1561767.0,12262,1612696,496202.0
080,Palmerston-Little Italy,CS,College/Shaw,2014,112413.0,1082,194304,21663.0
064,Woodbine Corridor,DA,Danforth/Coxwell,2014,146013.0,1109,306457,38850.0
042,Banbury-Don Mills,DM,Don Mills,2014,280151.0,1897,600651,85624.0
155,Downsview,DO,Downsview,2014,168733.0,1861,241057,118894.0
098,Rosedale-Moore Park,DP,Deer Park,2014,275813.0,1824,409681,54988.0
054,O'Connor-Parkview,DR,Dawes Road,2014,121325.0,1213,207658,49650.0
094,Wychwood,DT,Davenport,2014,42150.0,312,120646,7150.0
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2014,106788.0,889,146068,59313.0
158,Islington,EA,Eatonville,2014,223854.0,2752,511745,47626.0
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2014,49750.0,410,167238,6538.0
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2014,56200.0,646,83330,33350.0
052,Bayview Village,EN,Ethennonnhawahstihnen',2014,146697.0,2096,452867,23452.0
120,Clairlea-Birchmount,ES,Eglinton Square,2014,205025.0,1523,260109,37063.0
102,Forest Hill North,FH,Forest Hill,2014,93575.0,972,205273,20288.0
