NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2013,432525
120,Clairlea-Birchmount,ACD,Albert Campbell,2013,222012
020,Alderwood,AD,Alderwood,2013,96088
118,Tam O'Shanter-Sullivan,AG,Agincourt,2013,451500
039,Bedford Park-Nortown,AH,Armour Heights,2013,68925
090,Junction Area,AN,Annette Street,2013,79655
030,Brookhaven-Amesbury,AP,Amesbury Park,2013,53300
150,Fenside-Parkwoods,BB,Brookbanks,2013,60825
154,Oakdale-Beverley Heights,BC,Black Creek,2013,82713
157,Bendale South,BD,Bendale,2013,72446
063,The Beaches,BE,Beaches,2013,215213
032,Englemount-Lawrence,BF,Barbara Frum,2013,364175
083,Dufferin Grove,BL,Bloor/Gladstone,2013,367025
015,Kingsway South,BR,Brentwood,2013,247650
147,L'Amoreaux West,BRW,Bridlewood,2013,399650
146,Malvern East,BUR,Burrows Hall,2013,144500
123,Cliffcrest,CC,Cliffcrest,2013,80800
035,Westminster-Branson,CE,Centennial,2013,138425
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2013,405263
170,Yonge-Bay Corridor,CH,City Hall,2013,219213
037,Willowdale West,CL,North York Central Library,2013,1690775
080,Palmerston-Little Italy,CS,College/Shaw,2013,112175
064,Woodbine Corridor,DA,Danforth/Coxwell,2013,158188
042,Banbury-Don Mills,DM,Don Mills,2013,239838
155,Downsview,DO,Downsview,2013,153000
098,Rosedale-Moore Park,DP,Deer Park,2013,225188
054,O'Connor-Parkview,DR,Dawes Road,2013,123463
094,Wychwood,DT,Davenport,2013,39263
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2013,121688
158,Islington,EA,Eatonville,2013,214193
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2013,55800
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2013,60925
052,Bayview Village,EN,Ethennonnhawahstihnen',2013,205213
120,Clairlea-Birchmount,ES,Eglinton Square,2013,217688
102,Forest Hill North,FH,Forest Hill,2013,90188
044,Flemingdon Park,FP,Flemingdon Park,2013,150363
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2013,99125
130,Milliken,GHP,Goldhawk Park,2013,184713
140,Guildwood,GW,Guildwood,2013,51138
016,Stonegate-Queensway,HB,Humber Bay,2013,53538
134,Highland Creek,HC,Highland Creek,2013,60375
048,Hillcrest Village,HIL,Hillcrest,2013,222063
