NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2014,3958
170,Yonge-Bay Corridor,CH,City Hall,2014,2142
037,Willowdale West,CL,North York Central Library,2014,12262
080,Palmerston-Little Italy,CS,College/Shaw,2014,1082
064,Woodbine Corridor,DA,Danforth/Coxwell,2014,1109
042,Banbury-Don Mills,DM,Don Mills,2014,1897
155,Downsview,DO,Downsview,2014,1861
098,Rosedale-Moore Park,DP,Deer Park,2014,1824
054,O'Connor-Parkview,DR,Dawes Road,2014,1213
094,Wychwood,DT,Davenport,2014,312
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2014,889
158,Islington,EA,Eatonville,2014,2752
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2014,410
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2014,646
052,Bayview Village,EN,Ethennonnhawahstihnen',2014,2096
120,Clairlea-Birchmount,ES,Eglinton Square,2014,1523
102,Forest Hill North,FH,Forest Hill,2014,972
165,Harbourfront-CityPlace,FO,Fort York,2014,3651
044,Flemingdon Park,FP,Flemingdon Park,2014,1002
047,Don Valley Village,FV,Fairview,2014,5568
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2014,579
130,Milliken,GHP,Goldhawk Park,2014,862
140,Guildwood,GW,Guildwood,2014,403
016,Stonegate-Queensway,HB,Humber Bay,2014,614
134,Highland Creek,HC,Highland Creek,2014,796
048,Hillcrest Village,HIL,Hillcrest,2014,912
087,High Park-Swansea,HP,High Park,2014,1224
021,Humber Summit,HS,Humber Summit,2014,493
001,West Humber-Clairville,HW,Humberwood,2014,468
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2014,1488
070,South Riverdale,JO,Jones,2014,680
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2014,1099
125,Ionview,KE,Kennedy/Eglinton,2014,1323
019,Long Branch,LB,Long Branch,2014,783
056,Leaside-Bennington,LE,Leaside,2014,1147
103,Lawrence Park South,LO,Locke,2014,1577
078,Kensington-Chinatown,LS,Lillian H. Smith,2014,3243
062,East End-Danforth,MA,Main Street,2014,852
146,Malvern East,MAL,Malvern,2014,2728
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2014,1794
126,Dorset Park,MCG,McGregor Park,2014,1351
115,Mount Dennis,MD,Mount Dennis,2014,798
160,Mimico-Queensway,MI,Mimico Centennial,2014,834
099,Mount Pleasant East,MP,Mount Pleasant,2014,556
119,Wexford-Maryvale,MRV,Maryvale,2014,1149
136,West Hill,MS,Morningside,2014,1152
100,Yonge-Eglinton,ND,Northern District,2014,2553
001,West Humber-Clairville,NE,Northern Elms,2014,383
018,New Toronto,NT,New Toronto,2014,527
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2014,606
069,Blake-Jones,PA,Pape/Danforth,2014,1674
171,Junction-Wallace Emerson,PE,Perth/Dupont,2014,282
085,South Parkdale,PK,Parkdale,2014,2014
073,Moss Park,PL,Parliament Street,2014,1561
095,Annex,PM,Palmerston,2014,816
133,Centennial Scarborough,PU,Port Union,2014,842
046,Pleasant View,PV,Pleasant View,2014,701
070,South Riverdale,QS,Queen/Saulter,2014,473
068,North Riverdale,RD,Riverdale,2014,962
007,Willowridge-Martingrove-Richview,RI,Richview,2014,2549
088,High Park North,RN,Runnymede,2014,1823
004,Rexdale-Kipling,RX,Rexdale,2014,406
078,Kensington-Chinatown,SA,Sanderson,2014,1254
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2014,319
074,North St. James Town,SJ,St. James Town,2014,1594
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2014,1275
095,Annex,SP,Spadina Road,2014,638
116,Steeles,ST,Steeles,2014,826
087,High Park-Swansea,SW,Swansea Memorial,2014,81
059,Danforth Village - East York,SWS,S. Walter Stewart,2014,1415
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2014,453
055,Thorncliffe Park,TH,Thorncliffe,2014,1612
058,Old East York,TOD,Todmorden Room,2014,197
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2014,11308
043,Victoria Village,VV,Victoria Village,2014,394
113,Weston,WE,Weston,2014,809
022,Humbermede,WP,Woodview Park,2014,495
129,Agincourt North,WS,Woodside Square,2014,2149
096,Casa Loma,WY,Wychwood,2014,943
095,Annex,YO,Yorkville,2014,1011
025,Glenfield-Jane Heights,YW,York Woods,2014,2874
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2015,4272
120,Clairlea-Birchmount,ACD,Albert Campbell,2015,1448
020,Alderwood,AD,Alderwood,2015,519
118,Tam O'Shanter-Sullivan,AG,Agincourt,2015,2919
039,Bedford Park-Nortown,AH,Armour Heights,2015,545
090,Junction Area,AN,Annette Street,2015,915
030,Brookhaven-Amesbury,AP,Amesbury Park,2015,709
150,Fenside-Parkwoods,BB,Brookbanks,2015,753
154,Oakdale-Beverley Heights,BC,Black Creek,2015,1109
157,Bendale South,BD,Bendale,2015,707
063,The Beaches,BE,Beaches,2015,1546
032,Englemount-Lawrence,BF,Barbara Frum,2015,2119
083,Dufferin Grove,BL,Bloor/Gladstone,2015,3111
015,Kingsway South,BR,Brentwood,2015,1725
147,L'Amoreaux West,BRW,Bridlewood,2015,1729
146,Malvern East,BUR,Burrows Hall,2015,766
123,Cliffcrest,CC,Cliffcrest,2015,659
035,Westminster-Branson,CE,Centennial,2015,1756
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2015,3824
170,Yonge-Bay Corridor,CH,City Hall,2015,1934
037,Willowdale West,CL,North York Central Library,2015,13064
080,Palmerston-Little Italy,CS,College/Shaw,2015,949
064,Woodbine Corridor,DA,Danforth/Coxwell,2015,1080
042,Banbury-Don Mills,DM,Don Mills,2015,2152
155,Downsview,DO,Downsview,2015,1669
098,Rosedale-Moore Park,DP,Deer Park,2015,1790
054,O'Connor-Parkview,DR,Dawes Road,2015,1305
094,Wychwood,DT,Davenport,2015,242
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2015,814
158,Islington,EA,Eatonville,2015,2693
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2015,398
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2015,524
052,Bayview Village,EN,Ethennonnhawahstihnen',2015,1854
120,Clairlea-Birchmount,ES,Eglinton Square,2015,1398
102,Forest Hill North,FH,Forest Hill,2015,1004
165,Harbourfront-CityPlace,FO,Fort York,2015,3732
044,Flemingdon Park,FP,Flemingdon Park,2015,1058
047,Don Valley Village,FV,Fairview,2015,5792
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2015,511
130,Milliken,GHP,Goldhawk Park,2015,777
140,Guildwood,GW,Guildwood,2015,389
016,Stonegate-Queensway,HB,Humber Bay,2015,552
134,Highland Creek,HC,Highland Creek,2015,702
048,Hillcrest Village,HIL,Hillcrest,2015,763
087,High Park-Swansea,HP,High Park,2015,1200
