NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2015,522254
170,Yonge-Bay Corridor,CH,City Hall,2015,342516
037,Willowdale West,CL,North York Central Library,2015,1571479
080,Palmerston-Little Italy,CS,College/Shaw,2015,194055
064,Woodbine Corridor,DA,Danforth/Coxwell,2015,296571
042,Banbury-Don Mills,DM,Don Mills,2015,627900
155,Downsview,DO,Downsview,2015,224968
098,Rosedale-Moore Park,DP,Deer Park,2015,421451
054,O'Connor-Parkview,DR,Dawes Road,2015,205651
094,Wychwood,DT,Davenport,2015,126743
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2015,151261
158,Islington,EA,Eatonville,2015,517719
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2015,158219
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2015,81207
052,Bayview Village,EN,Ethennonnhawahstihnen',2015,374989
120,Clairlea-Birchmount,ES,Eglinton Square,2015,249279
102,Forest Hill North,FH,Forest Hill,2015,198480
165,Harbourfront-CityPlace,FO,Fort York,2015,219431
044,Flemingdon Park,FP,Flemingdon Park,2015,148828
047,Don Valley Village,FV,Fairview,2015,805825
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2015,183970
130,Milliken,GHP,Goldhawk Park,2015,264751
140,Guildwood,GW,Guildwood,2015,121419
016,Stonegate-Queensway,HB,Humber Bay,2015,172226
134,Highland Creek,HC,Highland Creek,2015,179144
048,Hillcrest Village,HIL,Hillcrest,2015,340458
087,High Park-Swansea,HP,High Park,2015,327969
021,Humber Summit,HS,Humber Summit,2015,73816
001,West Humber-Clairville,HW,Humberwood,2015,82685
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2015,274077
070,South Riverdale,JO,Jones,2015,177360
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2015,120388
125,Ionview,KE,Kennedy/Eglinton,2015,188001
019,Long Branch,LB,Long Branch,2015,142842
056,Leaside-Bennington,LE,Leaside,2015,365509
103,Lawrence Park South,LO,Locke,2015,336679
078,Kensington-Chinatown,LS,Lillian H. Smith,2015,392895
062,East End-Danforth,MA,Main Street,2015,256372
146,Malvern East,MAL,Malvern,2015,404133
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2015,248394
126,Dorset Park,MCG,McGregor Park,2015,217638
115,Mount Dennis,MD,Mount Dennis,2015,111864
160,Mimico-Queensway,MI,Mimico Centennial,2015,185421
099,Mount Pleasant East,MP,Mount Pleasant,2015,152476
119,Wexford-Maryvale,MRV,Maryvale,2015,224525
136,West Hill,MS,Morningside,2015,183685
100,Yonge-Eglinton,ND,Northern District,2015,453583
001,West Humber-Clairville,NE,Northern Elms,2015,83841
018,New Toronto,NT,New Toronto,2015,129918
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2015,132719
069,Blake-Jones,PA,Pape/Danforth,2015,425823
171,Junction-Wallace Emerson,PE,Perth/Dupont,2015,91381
085,South Parkdale,PK,Parkdale,2015,385299
073,Moss Park,PL,Parliament Street,2015,240075
095,Annex,PM,Palmerston,2015,215454
133,Centennial Scarborough,PU,Port Union,2015,227324
046,Pleasant View,PV,Pleasant View,2015,211842
070,South Riverdale,QS,Queen/Saulter,2015,122194
068,North Riverdale,RD,Riverdale,2015,281348
007,Willowridge-Martingrove-Richview,RI,Richview,2015,623078
088,High Park North,RN,Runnymede,2015,462269
004,Rexdale-Kipling,RX,Rexdale,2015,82560
078,Kensington-Chinatown,SA,Sanderson,2015,235400
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2015,149189
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2015,58560
