NBHDNo,NBHDName,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of private household in 2020 ($),Total - Income statistics for economic families in private households - 25% sample data,Median total income of economic family in 2020 ($),Participation rate,Employment rate,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree","No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate,High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree (%)"
074,North St. James Town,Not an NIA or Emerging Neighbourhood,9530,59200,4250,79500,66.8,55.2,16370,1950,11.91,3740,22.85,10675,65.21
078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,9525,62000,3710,90000,62.7,51.6,16875,2455,14.55,3940,23.35,10475,62.07
079,University,Not an NIA or Emerging Neighbourhood,3240,80000,1470,126000,69.1,58.6,5925,465,7.85,1055,17.81,4410,74.43
080,Palmerston-Little Italy,Not an NIA or Emerging Neighbourhood,6180,88000,3065,133000,71.7,63.6,11925,1485,12.45,2210,18.53,8230,69.01
081,Trinity-Bellwoods,Not an NIA or Emerging Neighbourhood,6840,92000,3855,116000,68.8,60.0,13810,2740,19.84,2765,20.02,8305,60.14
083,Dufferin Grove,Not an NIA or Emerging Neighbourhood,5270,78000,2810,108000,70.3,60.2,10000,1795,17.95,1885,18.85,6315,63.15
084,Little Portugal,Not an NIA or Emerging Neighbourhood,7890,86000,3890,117000,75.9,66.3,13985,2080,14.87,2665,19.06,9240,66.07
085,South Parkdale,Neighbourhood Improvement Area,11290,57200,4715,84000,69.0,57.0,18575,2725,14.67,4750,25.57,11105,59.78
086,Roncesvalles,Not an NIA or Emerging Neighbourhood,6785,88000,3715,133000,70.6,62.6,12485,1690,13.54,2405,19.26,8390,67.2
087,High Park-Swansea,Not an NIA or Emerging Neighbourhood,10450,101000,6210,147000,70.2,62.4,19275,1455,7.55,3290,17.07,14535,75.41
088,High Park North,Not an NIA or Emerging Neighbourhood,11100,83000,5855,120000,72.0,62.5,19075,1250,6.55,3150,16.51,14680,76.96
089,Runnymede-Bloor West Village,Not an NIA or Emerging Neighbourhood,3840,138000,2900,170000,70.3,63.4,8115,880,10.84,1385,17.07,5855,72.15
090,Junction Area,Not an NIA or Emerging Neighbourhood,6035,96000,3770,123000,72.7,63.4,11965,1455,12.16,2405,20.1,8105,67.74
091,Weston-Pelham Park,Neighbourhood Improvement Area,4195,81000,2785,112000,61.5,52.1,9110,2535,27.83,2500,27.44,4070,44.68
092,Corso Italia-Davenport,Not an NIA or Emerging Neighbourhood,5215,94000,3655,119000,66.9,59.4,11355,2585,22.77,2445,21.53,6320,55.66
094,Wychwood,Not an NIA or Emerging Neighbourhood,5770,86000,3480,124000,66.6,58.3,11025,1695,15.37,2265,20.54,7065,64.08
095,Annex,Not an NIA or Emerging Neighbourhood,16325,85000,7260,144000,69.7,61.6,26865,1520,5.66,4125,15.35,21220,78.99
096,Casa Loma,Not an NIA or Emerging Neighbourhood,5810,103000,3090,164000,64.7,57.6,10180,485,4.76,1765,17.34,7925,77.85
097,Yonge-St. Clair,Not an NIA or Emerging Neighbourhood,7210,94000,3460,157000,67.5,61.8,11590,550,4.75,1670,14.41,9375,80.89
098,Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,9880,122000,5495,200000,59.1,53.5,17685,855,4.83,2670,15.1,14160,80.07
099,Mount Pleasant East,Not an NIA or Emerging Neighbourhood,7170,110000,4490,170000,68.7,61.4,13590,985,7.25,2295,16.89,10310,75.86
100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,5995,94000,3270,155000,71.0,62.8,10690,700,6.55,1610,15.06,8375,78.34
101,Forest Hill South,Not an NIA or Emerging Neighbourhood,5075,109000,2905,188000,63.9,58.2,9500,620,6.53,1600,16.84,7280,76.63
102,Forest Hill North,Not an NIA or Emerging Neighbourhood,5250,90000,3280,124000,68.5,60.5,10405,855,8.22,2160,20.76,7385,70.98
103,Lawrence Park South,Not an NIA or Emerging Neighbourhood,5785,162000,4185,244000,63.6,57.4,12510,1020,8.15,2010,16.07,9480,75.78
105,Lawrence Park North,Not an NIA or Emerging Neighbourhood,5460,168000,4120,228000,67.4,60.1,11705,925,7.9,1780,15.21,9005,76.93
106,Humewood-Cedarvale,Not an NIA or Emerging Neighbourhood,6335,83000,3575,132000,71.0,63.3,11715,945,8.07,2290,19.55,8475,72.34
107,Oakwood Village,Not an NIA or Emerging Neighbourhood,8640,77000,5560,105000,64.9,56.7,17635,3525,19.99,4220,23.93,9890,56.08
108,Briar Hill-Belgravia,Not an NIA or Emerging Neighbourhood,5940,81000,3910,102000,65.4,56.3,12670,2280,18.0,3050,24.07,7335,57.89
109,Caledonia-Fairbank,Not an NIA or Emerging Neighbourhood,3710,87000,2795,102000,65.7,57.1,8575,2590,30.2,2095,24.43,3890,45.36
110,Keelesdale-Eglinton West,Neighbourhood Improvement Area,4380,77000,3025,95000,60.1,51.1,9770,3115,31.88,2815,28.81,3840,39.3
111,Rockcliffe-Smythe,Neighbourhood Improvement Area,9035,69000,5890,91000,56.8,48.8,18910,5060,26.76,5635,29.8,8215,43.44
112,Beechborough-Greenbrook,Neighbourhood Improvement Area,2570,62400,1685,82000,59.4,49.2,5225,1380,26.41,1730,33.11,2125,40.67
113,Weston,Neighbourhood Improvement Area,7920,64500,4745,86000,59.9,49.5,15555,3580,23.02,4755,30.57,7220,46.42
114,Lambton Baby Point,Not an NIA or Emerging Neighbourhood,3105,103000,2255,142000,64.9,56.3,6420,840,13.08,1365,21.26,4215,65.65
115,Mount Dennis,Neighbourhood Improvement Area,5055,70500,3500,87000,61.8,50.2,10905,2515,23.06,3320,30.44,5075,46.54
116,Steeles,Emerging Neighbourhood,7865,80000,6360,87000,49.4,40.2,20010,4325,21.61,5715,28.56,9970,49.83
118,Tam O'Shanter-Sullivan,Not an NIA or Emerging Neighbourhood,10350,76500,7280,92000,56.4,47.6,23540,3955,16.8,6085,25.85,13500,57.35
119,Wexford/Maryvale,Not an NIA or Emerging Neighbourhood,10260,82000,7470,99000,61.4,51.5,24170,4060,16.8,7160,29.62,12945,53.56
120,Clairlea-Birchmount,Not an NIA or Emerging Neighbourhood,9400,90000,7070,103000,62.7,53.4,22335,3635,16.27,5970,26.73,12735,57.02
121,Oakridge,Neighbourhood Improvement Area,5315,60000,3340,76500,54.6,43.1,11135,2280,20.48,3215,28.87,5640,50.65
122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,9615,90000,6295,123000,62.7,53.3,19260,2585,13.42,4965,25.78,11710,60.8
123,Cliffcrest,Not an NIA or Emerging Neighbourhood,5875,92000,4315,114000,59.8,50.7,13620,1985,14.57,3805,27.94,7830,57.49
124,Kennedy Park,Neighbourhood Improvement Area,6585,69000,4335,90000,56.3,45.9,14525,2950,20.31,4210,28.98,7365,50.71
125,Ionview,Neighbourhood Improvement Area,4965,74500,3510,87000,60.3,50.4,11145,2115,18.98,3315,29.74,5720,51.32
126,Dorset Park,Emerging Neighbourhood,8720,79000,6345,92000,59.4,50.8,20525,3820,18.61,5885,28.67,10825,52.74
128,Agincourt South-Malvern West,Not an NIA or Emerging Neighbourhood,8890,79500,6545,88000,58.7,50.3,21165,3900,18.43,5540,26.18,11725,55.4
129,Agincourt North,Not an NIA or Emerging Neighbourhood,9090,84000,7490,91000,54.4,45.0,24135,5460,22.62,6760,28.01,11915,49.37
