NBHDNo,NBHDName,BranchCode,BranchName,Year,Sessions
150,Fenside-Parkwoods,BB,Brookbanks,2014,26263
154,Oakdale-Beverley Heights,BC,Black Creek,2014,24600
157,Bendale South,BD,Bendale,2014,20538
063,The Beaches,BE,Beaches,2014,41963
032,Englemount-Lawrence,BF,Barbara Frum,2014,120551
083,Dufferin Grove,BL,Bloor/Gladstone,2014,174629
015,Kingsway South,BR,Brentwood,2014,83069
147,L'Amoreaux West,BRW,Bridlewood,2014,42088
146,Malvern East,BUR,Burrows Hall,2014,28275
123,Cliffcrest,CC,Cliffcrest,2014,18738
035,Westminster-Branson,CE,Centennial,2014,26025
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2014,258188
170,Yonge-Bay Corridor,CH,City Hall,2014,29988
037,Willowdale West,CL,North York Central Library,2014,496202
080,Palmerston-Little Italy,CS,College/Shaw,2014,21663
064,Woodbine Corridor,DA,Danforth/Coxwell,2014,38850
042,Banbury-Don Mills,DM,Don Mills,2014,85624
155,Downsview,DO,Downsview,2014,118894
098,Rosedale-Moore Park,DP,Deer Park,2014,54988
054,O'Connor-Parkview,DR,Dawes Road,2014,49650
094,Wychwood,DT,Davenport,2014,7150
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2014,59313
158,Islington,EA,Eatonville,2014,47626
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2014,6538
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2014,33350
052,Bayview Village,EN,Ethennonnhawahstihnen',2014,23452
120,Clairlea-Birchmount,ES,Eglinton Square,2014,37063
102,Forest Hill North,FH,Forest Hill,2014,20288
165,Harbourfront-CityPlace,FO,Fort York,2014,24150
044,Flemingdon Park,FP,Flemingdon Park,2014,51997
047,Don Valley Village,FV,Fairview,2014,167961
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2014,23425
130,Milliken,GHP,Goldhawk Park,2014,50442
140,Guildwood,GW,Guildwood,2014,12138
016,Stonegate-Queensway,HB,Humber Bay,2014,8900
134,Highland Creek,HC,Highland Creek,2014,24713
048,Hillcrest Village,HIL,Hillcrest,2014,31088
087,High Park-Swansea,HP,High Park,2014,44950
021,Humber Summit,HS,Humber Summit,2014,31213
001,West Humber-Clairville,HW,Humberwood,2014,34175
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2014,71413
070,South Riverdale,JO,Jones,2014,28863
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2014,48763
125,Ionview,KE,Kennedy/Eglinton,2014,39188
019,Long Branch,LB,Long Branch,2014,22363
056,Leaside-Bennington,LE,Leaside,2014,23925
103,Lawrence Park South,LO,Locke,2014,40625
078,Kensington-Chinatown,LS,Lillian H. Smith,2014,183539
062,East End-Danforth,MA,Main Street,2014,38513
146,Malvern East,MAL,Malvern,2014,175932
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2014,128615
126,Dorset Park,MCG,McGregor Park,2014,44396
115,Mount Dennis,MD,Mount Dennis,2014,64538
160,Mimico-Queensway,MI,Mimico Centennial,2014,22058
099,Mount Pleasant East,MP,Mount Pleasant,2014,5613
119,Wexford-Maryvale,MRV,Maryvale,2014,30650
136,West Hill,MS,Morningside,2014,41363
100,Yonge-Eglinton,ND,Northern District,2014,106577
001,West Humber-Clairville,NE,Northern Elms,2014,12938
018,New Toronto,NT,New Toronto,2014,23049
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2014,36975
069,Blake-Jones,PA,Pape/Danforth,2014,71899
171,Junction-Wallace Emerson,PE,Perth/Dupont,2014,10063
085,South Parkdale,PK,Parkdale,2014,133343
073,Moss Park,PL,Parliament Street,2014,68339
095,Annex,PM,Palmerston,2014,19988
133,Centennial Scarborough,PU,Port Union,2014,18088
046,Pleasant View,PV,Pleasant View,2014,22738
070,South Riverdale,QS,Queen/Saulter,2014,11150
068,North Riverdale,RD,Riverdale,2014,74888
007,Willowridge-Martingrove-Richview,RI,Richview,2014,120461
088,High Park North,RN,Runnymede,2014,68213
004,Rexdale-Kipling,RX,Rexdale,2014,18875
078,Kensington-Chinatown,SA,Sanderson,2014,66100
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2014,14225
074,North St. James Town,SJ,St. James Town,2014,65038
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2014,25688
095,Annex,SP,Spadina Road,2014,13242
116,Steeles,ST,Steeles,2014,27963
087,High Park-Swansea,SW,Swansea Memorial,2014,2488
059,Danforth Village - East York,SWS,S. Walter Stewart,2014,137354
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2014,14925
055,Thorncliffe Park,TH,Thorncliffe,2014,89775
058,Old East York,TOD,Todmorden Room,2014,6225
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2014,776844
043,Victoria Village,VV,Victoria Village,2014,14638
113,Weston,WE,Weston,2014,40363
022,Humbermede,WP,Woodview Park,2014,19200
129,Agincourt North,WS,Woodside Square,2014,104775
096,Casa Loma,WY,Wychwood,2014,37747
095,Annex,YO,Yorkville,2014,32850
025,Glenfield-Jane Heights,YW,York Woods,2014,185228
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2015,142187
120,Clairlea-Birchmount,ACD,Albert Campbell,2015,145984
020,Alderwood,AD,Alderwood,2015,16700
118,Tam O'Shanter-Sullivan,AG,Agincourt,2015,158536
039,Bedford Park-Nortown,AH,Armour Heights,2015,11013
090,Junction Area,AN,Annette Street,2015,34038
030,Brookhaven-Amesbury,AP,Amesbury Park,2015,16300
150,Fenside-Parkwoods,BB,Brookbanks,2015,19700
154,Oakdale-Beverley Heights,BC,Black Creek,2015,24413
157,Bendale South,BD,Bendale,2015,21100
063,The Beaches,BE,Beaches,2015,48525
032,Englemount-Lawrence,BF,Barbara Frum,2015,131127
